character_id,character_name,rarity,birth_year,death_year,faction,season,age,stage,character_type,luck,courage,command,combat,intelligence,politics,charisma,skill_1,skill_2,bond,biography,description
char_san_1212,卫兹,common,152,190,曹操,S1,32,peak,military,6.4,6.4,6.6,7.9,7.3,4.8,5.1,skill_1_1006,skill_2_1006,无,《三国志》,资曹起兵
char_san_1213,丁斐,common,155,220,曹操,S1,29,peak,military,7.2,7.2,7.2,7.1,5.4,3.7,6.7,skill_1_1001,skill_2_1003,无,《三国志》,曹操同乡
char_san_1214,裴潜,common,170,244,曹操,S1,14,early,military,7.9,7.9,5.9,5.6,6.3,4.6,6.3,skill_1_1002,skill_2_1005,无,《三国志》,曹魏后期重臣
char_san_1301,孙坚,core,155,191,孙坚,S1,29,peak,military,7.1,8.4,10,9.8,6.7,7.9,8,skill_1_5001,skill_2_5003,江东,《孙破虏传》,江东之虎。字文台，吴郡富春人。少以勇闻，讨黄巾、区星，拜长沙太守，封乌程侯。
char_san_1302,太史慈,legendary,166,206,孙坚,S1,18,early,military,9.4,8.3,9.6,9.3,8.5,8.5,6.4,skill_1_4001,skill_2_4008,江东,《太史慈传》,神射太史慈。字子义，东莱黄人。初为刘繇部下，后归孙策，助其平定江东，官至建昌都尉。
char_san_1303,黄盖,epic,150,215,孙坚,S1,34,peak,military,8.5,9.4,7.6,7.6,6.4,6.7,6.4,skill_1_3002,skill_2_3004,江东,《黄盖传》,江东宿将。字公覆，零陵泉陵人。初为郡吏，察孝廉，孙坚举义兵，盖从之。
char_san_1304,程普,epic,145,215,孙坚,S1,39,peak,military,8.2,9.4,8.7,7.9,5.9,6.4,6.5,skill_1_3006,skill_2_3003,江东,《程普传》,江东宿将。字德谋，右北平土垠人。初随孙坚征伐，讨黄巾、破董卓，皆有功。
char_san_1305,韩当,epic,155,226,孙坚,S1,29,peak,military,8.6,7.3,9.1,7.9,5.9,6.9,8,skill_1_3001,skill_2_3004,江东,《韩当传》,江东宿将。字义公，辽西令支人。便弓马，有膂力，幸于孙坚，从征伐周旋。
char_san_1306,朱治,epic,156,224,孙坚,S1,28,peak,military,8.9,8.4,7.7,8.2,6.3,7.9,5.7,skill_1_3001,skill_2_3003,江东,《朱治传》,江东宿将。
char_san_1307,祖茂,rare,150,191,孙坚,S1,34,peak,military,8.4,5.4,8,8.4,4.9,6.3,7.3,skill_1_2007,skill_2_2006,无,《三国志》,孙坚移屯梁东，为卓军所攻，令茂著帻诱敌，坚得间道脱走。
char_san_1308,孙贲,rare,150,210,孙坚,S1,34,peak,military,6.4,8.4,8.4,7.2,5.5,7.6,7,skill_1_2001,skill_2_2005,无,《三国志》,
char_san_1309,吴景,rare,150,203,孙坚,S1,34,peak,military,8.4,7.4,7.4,8.1,7.9,5.2,7.6,skill_1_2002,skill_2_2005,无,《三国志》,
char_san_1310,徐琨,rare,150,200,孙坚,S1,34,peak,military,8.4,8.4,6.7,8.4,7,5.8,5.4,skill_1_2002,skill_2_2004,无,《三国志》,
char_san_1401,袁绍,core,154,202,袁绍,S1,30,peak,balanced,9.3,7.4,9,7.9,8.9,9.2,8.9,skill_1_5002,skill_2_5003,四世三公;袁氏,《袁绍传》,四世三公。字本初，汝南汝阳人。灵帝时为中军校尉，与何进谋诛宦官。
char_san_1402,张郃,legendary,167,231,袁绍,S1,17,early,military,10,9.2,8.2,8.5,7.1,7.8,7.3,skill_1_4002,skill_2_4009,魏武;五子良将,《张郃传》,用兵巧变。字儁乂，河间鄚人。初属袁绍，后归曹操，为征西车骑将军，街亭之战破马谡。
char_san_1403,袁术,epic,155,199,袁绍,S1,29,peak,balanced,7.7,8.2,7.7,8.5,7.8,6.9,8.8,skill_1_3003,skill_2_3006,四世三公;袁氏,《袁术传》,四世三公。字公路，汝南汝阳人，绍从弟。灵帝时为虎贲中郎将。
char_san_1404,袁基,epic,145,190,袁绍,S1,39,peak,strategist,9.2,6.7,6.5,6.6,7.4,9.4,7.9,skill_1_3003,skill_2_3004,四世三公;袁氏,《三国志》,四世三公
char_san_1405,袁逢,epic,120,184,袁绍,S1,64,late,strategist,7.5,6.7,7.2,6,7.9,9.4,8.4,skill_1_3003,skill_2_3006,四世三公;袁氏,《三国志》,四世三公
char_san_1406,袁隗,epic,125,190,袁绍,S1,59,late,strategist,9.4,6.2,7.7,8.1,8.8,9.2,6.3,skill_1_3005,skill_2_3005,四世三公;袁氏,《三国志》,四世三公
char_san_1407,颜良,epic,160,200,袁绍,S1,24,early,military,9.2,8.9,8.9,5.9,5.8,8,6.9,skill_1_3005,skill_2_3004,袁氏,《颜良传》,河北名将。袁绍部将，骁勇善战，白马之战被关羽斩杀。
char_san_1408,文丑,epic,160,200,袁绍,S1,24,early,military,7.9,8.7,9.4,8.5,6,7.4,6.9,skill_1_3002,skill_2_3001,袁氏,《文丑传》,河北名将。袁绍部将，与颜良齐名，延津之战中曹军埋伏被杀。
char_san_1409,沮授,rare,155,200,袁绍,S1,29,peak,strategist,7.7,5.2,4.9,8.4,6.6,7.3,8.4,skill_1_2006,skill_2_2001,袁氏,《三国志》,袁绍智囊，多献良策，未被采纳，后被曹操俘虏，拒降被杀。
char_san_1410,田丰,rare,153,200,袁绍,S1,31,peak,strategist,6.8,6.3,6.9,5.7,8,8.4,8.4,skill_1_2008,skill_2_2005,袁氏,《三国志》,袁绍智囊，因谏阻袁绍伐曹而入狱，官渡之战后被杀。
char_san_1411,审配,rare,156,204,袁绍,S1,28,peak,strategist,8.4,5.2,5.8,6.8,7.8,8.4,7.2,skill_1_2004,skill_2_2002,袁氏,《三国志》,袁绍智囊
char_san_1412,逢纪,rare,150,202,袁绍,S1,34,peak,strategist,8.4,6.9,5.6,7.7,7.6,8.4,6,skill_1_2007,skill_2_2005,袁氏,《三国志》,袁绍智囊
char_san_1413,郭图,common,150,205,袁绍,S1,34,peak,strategist,7.8,4.5,6.3,5.2,7.2,7.3,7.3,skill_1_1005,skill_2_1001,无,《三国志》,袁绍谋士
char_san_1414,许攸,common,150,204,袁绍,S1,34,peak,strategist,7.9,5.7,5.8,5.2,6.5,5,7.9,skill_1_1005,skill_2_1006,无,《三国志》,袁绍谋士
char_san_1415,辛评,common,155,204,袁绍,S1,29,peak,strategist,6.2,6.5,4.5,4.7,7.9,6.4,7.9,skill_1_1006,skill_2_1002,无,《三国志》,袁绍谋士
char_san_1416,辛毗,common,157,234,袁绍,S1,27,peak,strategist,7.9,4.9,5.4,7.3,6.8,7.8,7,skill_1_1005,skill_2_1001,无,《三国志》,袁绍谋士
char_san_1501,董卓,core,138,192,董卓,S1,46,late,military,10,8,9.1,8.8,6.5,8.7,7.3,skill_1_5002,skill_2_5004,酒池肉林,《董卓传》,西凉军阀。字仲颖，陇西临洮人。少好侠，尝游羌中，以健侠知名。灵帝时为并州牧。
char_san_1502,徐荣,legendary,150,192,董卓,S1,34,peak,balanced,9.1,8.9,9.2,8,9.2,8.4,8.5,skill_1_4001,skill_2_4009,无双;酒池肉林,《三国志》,董卓最强嫡系
char_san_1503,董旻,epic,140,192,董卓,S1,44,peak,military,7.8,8.8,9.3,7.5,5.9,6.7,6.4,skill_1_3005,skill_2_3003,酒池肉林,《三国志》,董卓亲弟
char_san_1504,牛辅,epic,150,192,董卓,S1,34,peak,military,7.8,7.6,9.1,9.1,6.9,6,6.5,skill_1_3001,skill_2_3005,酒池肉林,《三国志》,董卓女婿
char_san_1505,华雄,epic,150,191,董卓,S1,34,peak,military,7.9,9,9,6.4,6.1,7.6,7.2,skill_1_3001,skill_2_3003,酒池肉林,《华雄传》,董卓部将。董卓部将，骁勇善战，关东联军讨董卓时，被孙坚所杀。
char_san_1506,李儒,epic,150,192,董卓,S1,34,peak,strategist,7.7,6.5,8.1,6.3,7.5,9,7.9,skill_1_3004,skill_2_3002,酒池肉林,《三国志》,董卓谋士
char_san_1507,李傕,rare,150,198,董卓,S1,34,peak,military,8,6.7,7.9,6.8,7.4,5.5,6.5,skill_1_2005,skill_2_2005,董卓四将,《李傕传》,董卓四将之首
char_san_1508,郭汜,rare,150,197,董卓,S1,34,peak,military,8.4,7.9,7.8,6.6,5.4,6.6,6.2,skill_1_2001,skill_2_2002,董卓四将,《郭汜传》,董卓四将之二
char_san_1509,樊稠,rare,150,192,董卓,S1,34,peak,military,8.3,8.3,7.3,6,6.7,5.9,5.6,skill_1_2006,skill_2_2006,董卓四将,《樊稠传》,董卓四将之三
char_san_1510,张汲,rare,150,196,董卓,S1,34,peak,military,6.6,8.4,8.4,5.9,7.8,5.9,5.8,skill_1_2005,skill_2_2004,董卓四将,《张汲传》,董卓四将之四
char_san_1511,胡轸,common,150,192,董卓,S1,34,peak,military,7.9,7.9,5,7.9,5,5,7.2,skill_1_1002,skill_2_1001,无,《三国志》,凉州部将
char_san_1512,段煨,common,140,209,董卓,S1,44,peak,military,7.1,7.9,7.3,6.3,5.2,5.9,7.5,skill_1_1001,skill_2_1001,无,《三国志》,凉州部将
char_san_1513,董越,common,150,192,董卓,S1,34,peak,military,7.9,5.9,6.3,7.9,4.8,6.6,6.5,skill_1_1001,skill_2_1001,无,《三国志》,凉州部将
char_san_1514,董璜,common,150,192,董卓,S1,34,peak,military,6.7,7.9,7,7.9,6.1,5.9,5.8,skill_1_1005,skill_2_1001,无,《三国志》,凉州部将
char_san_1515,李蒙,common,150,195,董卓,S1,34,peak,military,7.5,7.2,6.1,7.9,6.5,5.4,6.3,skill_1_1006,skill_2_1002,无,《三国志》,凉州部将
char_san_1516,王方,common,150,195,董卓,S1,34,peak,military,7.1,7.5,6.8,6.1,4.3,5.2,7.3,skill_1_1001,skill_2_1003,无,《三国志》,凉州部将
char_san_1517,杨定,common,150,195,董卓,S1,34,peak,military,7.1,6.5,7.9,6.7,5.8,6.6,5.1,skill_1_1006,skill_2_1002,无,《三国志》,凉州部将
char_san_1518,伍习,common,150,197,董卓,S1,34,peak,military,7.1,6.3,7.3,6.2,6.9,4.6,6.4,skill_1_1001,skill_2_1005,无,《三国志》,凉州部将
char_san_1519,胡赤儿,common,150,192,董卓,S1,34,peak,military,5.4,7.9,6.8,7.5,5.4,4.9,7.9,skill_1_1005,skill_2_1006,无,《三国志》,凉州部将
char_san_1520,刘靖,common,150,192,董卓,S1,34,peak,military,7.6,5.1,7.5,7.2,6.5,5.1,5.3,skill_1_1006,skill_2_1003,无,《三国志》,凉州支系
char_san_1521,杨奉,common,150,197,董卓,S1,34,peak,military,7.9,6.1,5,7.9,4.7,7.2,6.4,skill_1_1005,skill_2_1003,无,《三国志》,凉州支系
char_san_1522,韩暹,common,150,197,董卓,S1,34,peak,military,7.9,5.9,7.7,7.9,5.5,6,4.6,skill_1_1001,skill_2_1003,无,《三国志》,凉州支系
char_san_1523,李乐,common,150,197,董卓,S1,34,peak,military,6.2,7.6,7.9,7.1,7.9,4.4,6.5,skill_1_1002,skill_2_1005,无,《三国志》,凉州支系
char_san_1524,胡才,common,150,196,董卓,S1,34,peak,military,5.8,6.6,7.8,7.5,4.4,5.9,7.4,skill_1_1002,skill_2_1002,无,《三国志》,凉州支系
char_san_1525,周慎,common,150,192,董卓,S1,34,peak,military,5.7,7.6,7.9,6.6,5.6,6.3,6.2,skill_1_1006,skill_2_1002,无,《三国志》,凉州支系
char_san_1526,董承,common,150,200,董卓,S1,34,peak,military,6.6,7.4,7.5,7.9,6.1,5.9,5.4,skill_1_1006,skill_2_1002,无,《三国志》,凉州支系
char_san_1601,刘宏,core,156,189,汉室,S1,28,peak,balanced,8.8,8.5,8.8,9.1,8.6,7.7,7.8,skill_1_5001,skill_2_5003,汉室宗亲,《灵帝纪》,肃宗玄孙。孝灵皇帝，在位宠信宦官，朝政日乱，黄巾起。
char_san_1602,何进,epic,150,189,汉室,S1,34,peak,military,8.4,8,6.9,9.4,6,6.6,6.6,skill_1_3002,skill_2_3002,东汉名仕,《何进传》,汉大将军。字遂高，南阳宛人。以异妹为皇后，拜大将军，谋诛宦官，事泄被杀。
char_san_1603,何苗,epic,152,189,汉室,S1,32,peak,military,9.2,8.1,7.3,8.6,5.9,6.7,6.3,skill_1_3001,skill_2_3005,无,《三国志》,何进之弟，为车骑将军，与宦官交通，后为乱兵所杀。
char_san_1604,丁原,epic,150,189,汉室,S1,34,peak,military,9.4,7.3,9.4,7.2,6.4,6.4,6.7,skill_1_3002,skill_2_3005,东汉名仕,《丁原传》,字建阳，本出自寒家，为人粗略，有武勇。灵帝崩，将兵诣洛阳，与何进谋诛宦官。后任并州刺史。
char_san_1605,皇甫嵩,epic,137,195,汉室,S1,47,late,military,7.1,9.4,7.4,9.4,7.6,6.5,7.5,skill_1_3005,skill_2_3006,汉末三将;东汉名仕,《皇甫嵩传》,汉末三将。字义真，安定朝那人。为左中郎将，破黄巾，威震天下。
char_san_1606,朱儁,epic,140,195,汉室,S1,44,peak,military,7.4,8.2,9.4,9.4,5.9,6.8,6.4,skill_1_3005,skill_2_3004,汉末三将;东汉名仕,《朱儁传》,汉末三将。字公伟，会稽上虞人。与皇甫嵩共讨黄巾，拜右车骑将军。
char_san_1607,卢植,epic,139,192,汉室,S1,45,peak,balanced,8.3,8.3,7.3,9.1,8,7.6,7.9,skill_1_3001,skill_2_3006,汉末三将;东汉名仕,《卢植传》,汉末三将。字子干，涿郡涿人。灵帝时为北中郎将，讨张角，后以谏争免官。刘备恩师。
char_san_1608,张让,epic,150,189,汉室,S1,34,peak,balanced,7.9,8.1,7.7,8,7.3,7.8,7.8,skill_1_3002,skill_2_3001,十常侍,《三国志》,颍川人，灵帝时中常侍，封列侯，与赵忠等擅权。
char_san_1609,赵忠,epic,150,189,汉室,S1,34,peak,balanced,8.1,7.1,7.9,7.3,8.6,8.9,7.3,skill_1_3001,skill_2_3005,十常侍,《三国志》,安平人，灵帝时中常侍，与张让并贵。
char_san_1610,杨彪,epic,142,225,汉室,S1,42,peak,balanced,8.5,7.4,8.4,7.8,7.3,7,8.4,skill_1_3004,skill_2_3004,东汉名仕,《杨彪传》,字文先，弘农华阴人。灵帝时累迁司徒、司空。
char_san_1611,刘陶,epic,135,185,汉室,S1,49,late,balanced,8.6,7.4,8.4,8.6,6.7,7,7.8,skill_1_3002,skill_2_3006,东汉名仕,《刘陶传》,汉室宗亲、名士，以直言敢谏著称
char_san_1612,张温,epic,143,191,汉室,S1,41,peak,balanced,8.9,7.8,8.1,7.9,8.3,7.6,9.4,skill_1_3006,skill_2_3001,东汉名仕;汉末忠烈,《张温传》,东汉三公太尉
char_san_1613,陈耽,epic,135,185,汉室,S1,49,late,balanced,7.7,7.5,8.1,8.5,8.2,7.5,7.3,skill_1_3006,skill_2_3003,东汉名仕;汉末忠烈,《陈耽传》,东汉三公司徒
char_san_1614,张济,epic,140,187,汉室,S1,44,peak,balanced,8.3,8.1,7.4,7.9,8.2,7.8,7.6,skill_1_3002,skill_2_3003,东汉名仕;汉末忠烈,《张济传》,东汉三公司空
char_san_1615,傅燮,rare,150,187,汉室,S1,34,peak,military,7.8,5.9,8.4,8.2,6.9,5.1,6.8,skill_1_2005,skill_2_2003,汉末忠烈,《傅燮传》,
char_san_1616,臧洪,rare,160,195,汉室,S1,24,early,military,8.3,8.4,7.3,7,6,5.9,8.2,skill_1_2006,skill_2_2007,汉末忠烈,《臧洪传》,
char_san_1617,孟佗,rare,145,190,汉室,S1,39,peak,balanced,8,7.4,6.9,8.1,7.1,6.6,8.4,skill_1_2002,skill_2_2005,东汉十三州,《孟佗传》,司隶校尉部，遭受黄巾之乱之扰
char_san_1618,郭勋,rare,150,184,汉室,S1,34,peak,balanced,7.7,7.2,8.2,7.7,8.4,7.1,7.1,skill_1_2002,skill_2_2004,东汉十三州,《郭勋传》,冀州刺史，遭受黄巾之乱之扰
char_san_1619,张懿,rare,153,188,汉室,S1,31,peak,balanced,6.6,7.7,7.7,7.4,6.5,8.2,7.9,skill_1_2006,skill_2_2006,东汉十三州,《张懿传》,并州刺史，遭受黄巾之乱之扰，后调任凉州刺史
char_san_1620,焦和,rare,155,189,汉室,S1,29,peak,balanced,7.3,6.6,7.2,8.1,7.7,7.9,7,skill_1_2006,skill_2_2006,东汉十三州,《焦和传》,青州刺史，遭受黄巾之乱之扰
char_san_1621,桥瑁,rare,150,191,汉室,S1,34,peak,balanced,6.8,7.9,7.3,8,7.5,6.4,6.6,skill_1_2007,skill_2_2005,东汉十三州,《桥瑁传》,兖州刺史，遭受黄巾之乱之扰
char_san_1622,王允,rare,137,192,汉室,S1,47,late,balanced,7.9,7.9,7.7,6.7,6.5,8,6.8,skill_1_2005,skill_2_2006,东汉十三州,《王允传》,豫州刺史，遭受黄巾之乱之扰，后调任司隶校尉部
char_san_1623,陶谦,rare,132,194,汉室,S1,52,late,balanced,7.8,7.1,6.7,7.7,7.6,6.7,7.7,skill_1_2006,skill_2_2004,东汉十三州,《陶谦传》,徐州刺史，遭受黄巾之乱之扰
char_san_1418,孔伷,rare,150,192,汉室,S1,34,peak,balanced,8.4,7.6,7,8.2,7,7.1,6.9,skill_1_2008,skill_2_2002,东汉十三州,《孔伷传》,调任豫州刺史
char_san_1624,邹靖,common,150,185,汉室,S1,34,peak,military,7.4,7.4,6.1,7.9,5.6,6.2,7,skill_1_1006,skill_2_1003,无,《三国志》,
char_san_1625,郭典,common,150,185,汉室,S1,34,peak,military,6,6.5,7.8,7.9,4.6,4.7,6.8,skill_1_1005,skill_2_1004,无,《三国志》,
char_san_1626,刘陶,common,125,185,汉室,S1,59,late,military,7.5,7.9,7,6.7,4.8,5.5,6.7,skill_1_1001,skill_2_1001,无,《三国志》,
char_san_1627,夏育,common,150,185,汉室,S1,34,peak,military,6.8,7.1,7.9,6.9,5.4,5.8,5,skill_1_1005,skill_2_1002,无,《三国志》,
char_san_1629,徐璆,common,150,209,汉室,S1,34,peak,military,7.9,6.6,7.9,5.6,5.2,5.8,7.9,skill_1_1001,skill_2_1004,无,《三国志》,
char_san_1630,赵谦,common,150,192,汉室,S1,34,peak,military,7.9,5.4,7.8,6.5,5.7,5,6.3,skill_1_1006,skill_2_1002,无,《三国志》,
char_san_1631,吕强,common,150,184,汉室,S1,34,peak,military,6.8,7,7.7,7.3,4.8,7.1,4.7,skill_1_1002,skill_2_1004,无,《三国志》,
char_san_1632,张杨,common,150,198,汉室,S1,34,peak,military,7.9,7.9,7.3,6.4,4.6,7.4,5.5,skill_1_1002,skill_2_1003,无,《张杨传》,张懿麾下
char_san_1633,张济,common,153,196,汉室,S1,31,peak,military,7.9,7.6,5.9,7.2,7.9,4.5,4.5,skill_1_1006,skill_2_1001,无,《三国志》,张懿麾下
char_san_1634,张绣,common,160,207,汉室,S1,24,early,military,5.7,7.3,7.9,6.8,5,5.1,7.9,skill_1_1002,skill_2_1001,无,《张绣传》,张懿麾下，北地枪王
char_san_1635,刘卫,common,150,184,汉室,S1,34,peak,military,6.1,6.1,7.9,7.9,5.9,5.2,4.9,skill_1_1005,skill_2_1002,无,《三国志》,巨鹿太守
char_san_1636,李旻,common,160,189,汉室,S1,24,early,military,7.3,6,7.9,7.9,5.8,5.3,5.8,skill_1_1001,skill_2_1003,无,《三国志》,颍川太守
char_san_1637,牵招,common,150,233,汉室,S1,34,peak,military,7.9,7.9,6.2,6.3,7,5.6,5.9,skill_1_1006,skill_2_1004,无,《三国志》,冀州都尉
char_san_1638,鲍信,common,151,192,汉室,S1,33,peak,military,6,6,7.4,7.9,4.5,4.6,7.9,skill_1_1001,skill_2_1004,无,《三国志》,济北都尉
char_san_1639,鲍忠,common,153,192,汉室,S1,31,peak,military,6.1,6.6,7.9,6.6,4.4,7.9,4.5,skill_1_1001,skill_2_1003,无,《三国志》,鲍信之弟
char_san_1640,臧霸,common,165,227,汉室,S1,19,early,military,7.9,5.9,7.3,6.5,7.9,4.4,5.3,skill_1_1005,skill_2_1001,无,《臧霸传》,东海都尉
char_san_1701,张角,core,140,184,黄巾,S1,44,peak,balanced,8.8,9.1,9,7.9,8.2,8.2,8.1,skill_1_5004,skill_2_5002,太平道,《张角传》,黄巾首领。巨鹿人，奉事黄老道，号 “太平道”，中平元年起兵，自称天公将军。
char_san_1702,张宝,epic,150,184,黄巾,S1,34,peak,balanced,8.1,8.1,8.9,7.6,7.5,8.5,9,skill_1_3003,skill_2_3005,太平道,《张宝传》,张角之弟。称地公将军，与嵩战于下曲阳，兵败被杀。
char_san_1703,张梁,epic,150,184,黄巾,S1,34,peak,balanced,8.1,7.4,8,7.4,7.4,8.3,8.1,skill_1_3003,skill_2_3003,太平道,《张梁传》,张角之弟。称人公将军，与嵩战于广宗，夜溃，梁战死。
char_san_1704,马元义,rare,150,184,黄巾,S1,34,peak,military,6.7,8.4,7.7,8.4,5.8,7.1,5.9,skill_1_2002,skill_2_2006,太平弟子,《三国志》,张角八大弟子
char_san_1705,张曼成,rare,150,184,黄巾,S1,34,peak,military,7.7,8.4,6,8.4,5.2,7.1,6.7,skill_1_2006,skill_2_2004,太平弟子,《三国志》,张角八大弟子
char_san_1706,波才,rare,150,184,黄巾,S1,34,peak,military,8,8.4,8.4,6.2,6.2,6.8,5.7,skill_1_2006,skill_2_2004,太平弟子,《三国志》,张角八大弟子
char_san_1707,彭脱,rare,150,184,黄巾,S1,34,peak,military,7.1,7.4,8.4,7.6,6.2,5.2,6.6,skill_1_2006,skill_2_2006,太平弟子,《三国志》,张角八大弟子
char_san_1708,卜己,rare,150,184,黄巾,S1,34,peak,military,7.8,7.7,7.8,8,5.1,6.6,6.1,skill_1_2006,skill_2_2007,太平弟子,《三国志》,张角八大弟子
char_san_1709,赵弘,rare,150,184,黄巾,S1,34,peak,military,8.4,8.4,6,6.7,5.9,5.6,7.5,skill_1_2002,skill_2_2008,太平弟子,《三国志》,张角八大弟子
char_san_1710,韩忠,rare,150,184,黄巾,S1,34,peak,military,8.4,8,7.7,6.4,5.2,7.2,6.4,skill_1_2002,skill_2_2008,太平弟子,《三国志》,张角八大弟子
char_san_1711,唐周,rare,154,184,黄巾,S1,30,peak,military,8,8.4,8,6.6,5.6,7.3,6.6,skill_1_2005,skill_2_2004,太平弟子,《三国志》,张角八大弟子
char_san_1712,张燕,common,150,225,黄巾,S1,34,peak,military,7.4,7.4,6.5,7.3,7.3,4.5,5,skill_1_2008,skill_2_2005,无,《张燕传》,分支渠帅
char_san_1713,张牛角,common,150,185,黄巾,S1,34,peak,military,7,7.8,6.3,6.1,5.5,6.7,5,skill_1_1006,skill_2_1003,无,《三国志》,分支渠帅
char_san_1714,梁仲宁,common,150,184,黄巾,S1,34,peak,military,7,6.1,6.5,7.9,6.2,5.7,6.2,skill_1_1005,skill_2_1003,无,《三国志》,分支渠帅
char_san_1715,张伯,common,150,184,黄巾,S1,34,peak,military,7.6,6.8,6.7,7.7,6.5,4.9,6.2,skill_1_1005,skill_2_1006,无,《三国志》,分支渠帅
